Unia,mara-du,genus,loga-asal,Latine,linke,Engle,Frans,Espanya,Arab,Hindu,putung Han,Nipon
baiziu,,,,,,baijiu,,,,,,
bak-ban,,,,,,"whiteboard, dry-erase board",,,,,,
balanse?,,,,,,balance,,,,,,
ban,,,zho:版,,,"board, plank; plate, pane; slab, tablet; brick; bar (of chocolate, soap, etc.), ingot",,,,,,
ban-geim,,,,,,board game,,,,,,
banaot?,,,,,,burnout,,,,,,
banda,,,"eng:bond, spa:banda, fas:بند, hin:बंद, mar:बंद, ben:বন্ধ, pan:ਬੰਦ",,,"tr.v. close, shut; block, stop, obstruct; bind, tie; turn off, switch off; a. closed, shut; blocked, obstructed; bound, tied; off, turned off; n. binding, bond, bondage, restraint, tie; obstacle; bandage, strip, strap, tape, ribbon",,,,,,
bandana,,,"eng:bandana, por:bandana, rus:банда́на, tur:bandana, may:bandana, jpn:バンダナ",,,n. bandana,,,,,,
bap,,,,,,chapter,,,,,,
bar,,,"eng:baro-, spa:baro-, rus:баро-, hin:भार, ben:ভর, may:berat",,,"heavy, massive; burdened; intense; substantial",,,,,,
bar-du,,,,,,weight,,,,,,
bar-hal,,,,,,"serious, grave, difficult",,,,,,
bar-lik,,,,,,"gravity, gravitational force",,,,,,
bar-sei,,,,,,important,,,,,,
barbakoa,,,,,,barbecue,,,,,,
barka-fin,,,,,,"a. blessed, fortunate, lucky",,,,,,
barka-teze,,,,,,tr.v. congratulate,,,,,,
barka?zukfuk?,,,,,,n. blessing; tr.v. bless; i. congratulations,,,,,,
bas,,,,,,"av. enough; a. enough, sufficient; n. suficiency",,,,,,
bas no,,,,,,"av. not enough; a. not enough, insufficient, deficient; n. deficit; deficiency",,,,,,
baza,,,,,,"n. base, foundation; basis, grounds; base (chemistry); tr.v. base, found, establish",,,,,,
baza-dokum?,,,,,,"constitution, charter",,,,,,
bazar,,,,,,"n. market, trading post, bazaar, shopping area",,,,,,
bebe gurube,,,,,,piglet,,,,,,
bebe kabalo,,,,,,pony,,,,,,
bebe kuku,,,,,,chick,,,,,,
bebe meme,,,,,,lamb,,,,,,
bebe miao,,,,,,kitten,,,,,,
bebe mou,,,,,,calf,,,,,,
bebe vaf,,,,,,puppy,,,,,,
bebe-co,,,,,,stroller,,,,,,
bek?,,,,,,"n. exponent, power; sf. -th power",,,,,,
ben kisa,,,,,,"children's story, storybook",,,,,,
ben ta,,,,,,"n. youth, childhood",,,,,,
ben-sam,,,,,,"childish, childlike, immature",,,,,,
benzin,,,,,,"gasoline, gas, petrol",,,,,,
benzin kan,,,,,,"gas station, filling station, petrol station",,,,,,
bet (merge with alo),,,zho:別,,,"a. special, peculiar, distinct; different, distinct; separate; n. difference, distinction; separation",,,,,,
bet-teze,,,,,,"distinguish, tell apart",,,,,,
bilit,,,zho:比,,,v. compare; n. comparison; a. relative,,,,,,
bilit ze,2,,,,,"pp. compared to, than, more so than; av. more, further, relatively",,,,,,(sei)より
bilit-nomer,,,,,bilit,"n. rate, ratio, fraction, proportion",,,,,,
bina,,,,,,"tr.v. build, construct, assemble",,,,,,
bina-sei,,,,,,"n. building, structure; construct",,,,,,
bingo,,,,,,n. bingo; i. bingo,,,,,,
bio lik,,,,,,"vitality, vital force",,,,,,
bio razon,,,,,,"reason for living, raison d'être",,,,,,
bio-salva-zen?,,,,,,n. lifeguard,,,,,,
bityao,1,,zho:必要,,,"tr.v. need, require; a. necessary, required, essential",,,,,需,
biznes,,,,,,"business, commerce; business, company, corporation",,,,,,
biznes ganhi,,,,,,business relationship,,,,,,
biznes-cef,,,,,,"CEO, president (of a company)",,,,,,
blabla,,,,,,"intr.v. chat, babble, blather; n. chat; i. blah blah blah",,,,,,ペラペラ;おしゃべり
bok polo,,,,,,north pole (the Arctic),,,,,,
boksi-zen,,,,,,boxer,,,,,,
bol,,,"hin:गोली, ben:গুলি, fas:گلوله, pol:kula",,,"ball, sphere",,,,,,
bomba,,,,,,bomb,,,,,,
bon,0,,,,,good,,,,,,
bon-[kigen],,,,,,cheerful,,,,,,
"bon-[mind,wit]",,,,,,"a. bright, clever, smart, witty",,,,,,
bon-[reputation],,,,,,"a. reputable, famous, renowned",,,,,,
bon-canse,,,,,,"n. good luck, fortune; a. lucky, fortunate, fortuitous",,,,,,
bon-dia loga,,,,,,"intr.v. greet; n. greeting, salutation",,,,,,
bon-fono,,,,,,"pretty-sounding, euphonic",,,,,,
bon-hal,,,,,,"a. in good condition, in good shape",,,,,,
bon-moral,2,,,,bon,"righteous, morally good",,,,,,
bon-sensa,,,,,,"a. pleasant, nice; comfortable; n. euphoria",,,,,,
bon-tabi,,,,,,"kind, good-natured",,,,,,
bon-vizi,,,,,,"pretty, good-looking",,,,,,
Boston metropol-tren,3,,,,,Boston Subway; the T,,,,,,
braoza,,,,,,"explore, browse",,,,,,
braoza-gi,,,,,braoza,"web-browser, browser",,,,,,
bronze-kolor,,,,,bronze,bronze (color),,,,,,
buda ta,,,,,buda,n. enlightenment,,,,,,
buda-zen,,,,,buda,n. Buddha,,,,,,
budi,,,,,,"a. enlightened, awakened; tr.v. realize; intr.v. awaken",,,,,,
bula,,,"may:buih, eng:bubble, hin:बुलबुला, ben:বুদ্বুদ, spa:burbuja, por:bolha, fra:bulle",,,bubble,,"burbuja, pompa",,,,
buli?,,,,,,tr.v. bully; n. bullying,,,,,,
bum-meik,3,,,,bum,tr.v. blow up,,,,,,
bus estas,,,,,,bus stop,,,,,,
cai-nabi,3,,,,,"tasseography, reading tea leaves",,,,,,
cal,,,,,,shawl,,,,,,
cam? suare?,,,,,,"afternoon; evening; PM, post meridiem",,,,,,
cama?,,,,,,v. collect; gather; n. collection,,,,,,
cang,,,"fas:جنگ, hin:जंग, ben:জঙ্গ, pan:جنگ‎, zho:争",,,"n. fight, battle, conflict; intr.v. fight, do battle; tr.v. fight, battle",,,,,,
cang-plas,,,,,,"battlefield, front",,,,,,
cang-sut,,,,,,martial arts,,,,,,
cang-zen,,,,,,"fighter, warrior",,,,,,
canse?,,,,,,"n. luck, chance, happenstance",,,,,,
cat,,,,,,"chat, chatter, converse",,,,,,
cat-kan,,,,,,chatroom,,,,,,
cavap,,,,,,"answer, reply",,"respuesta, response",,,,"回答,答え"
cavap?,,,,,,"tr.v. respond, reply, answer; n. response, reply, answer",,,,,,
cebe?,,,,,,pocket,,,,,,
cef,,,,,,"a. main, principal, chief, primary; n. chief, lord, boss, master",,,,,,
cef nagra,,,,,,capital city,,,,,,
cef-idea,,,,,,"n. principle, precept, core belief",,,,,,
cef-minista-zen,,,,,,prime minister,,,,,,
cili,,,,Capsaicin,,n. chili pepper,,,,,,
Cin [dynasty?],3,,,,,Qin dynasty,,,,,,
cina-gu,,,,,,chinaware,,,,,,
cira-cira,,,,,,tattered,,,,,,
cira?,,,,,,"tr.v. rip, tear, split; n. rip, tear; a. ripped, torn",,,,,,
cok don,,,,,,"tr.v. surprise, shock; a. surprising, shocking",,,,,,
cok du pe,,,,,,"surprisingly, shockingly",,,,,,
cok get,,,,,cok,"intr.v. be surprised, be shocked; a. surprised, shocked",,,,,,
cok-onda,,,,,,"shock wave, shock",,,,,,
cong-karip,,,,,,shallow; superficial,,,,,,
cong-tele,,,,,,deep; profound,,,,,,
cong-tele du,,,,,,depth,,,,,,
cong?,,,,,,"n. layer, stratum, level, storey, story",,,,,,
cou-dai?,,,,,,"flashy, gaudy, showy, loud",,,,,,
cou-mini?,,,,,,"subdued, sober, plain, simple",,,,,,
cou?,,,,,,"n. show, exhibition, display, demonstration, demo; tr.v. show, exhibit, display, demonstrate",,,,,,表示
cufat,,,zho:處罰,,,v. punish; penalize; n. punishment; penalty,,,,,,
da alo li,,,,,,"besides, other than that, in addition",,,,,,他に
da der,,,,,da,"that, that there",,,,,,
da fang li,,,,,da,"thus, in that way, like that",,,,,,
da fem,1,,,,da zen,"that woman, this woman; she, her",,,,,,
da fem di,1,,,,da zen di,"her, hers",,,,,,
da hal,,,,,da,"thus, so, that way",,,,,,
da hir,,,,,da,"this, this here",,,,,,
da hir sei,,,,,,this thing here,,,,,,
da loga li,2,,,,,"in other words, that is to say, so then",,,,,,
da mac,1,,,,da zen di,"that man, this man; he, him",,,,,,
da mac di,1,,,,da zen di,his,,,,,,
da mas pe,2,,,,,"on top of that, in addition, what's more",,,,,,その上
da mi di,,,,,da,this of mine,,,,,,
da pos pe,,,,,,"then, after that",,,,,,
da sei di,1,,,,,its,,,,,,
da tema pe,,,,,,"about that, speaking of which",,,,,,
da tu di,,,,,da,that of yours,,,,,,
da yang di,,,,,da,"thus, that kind of",,,,,,
da-aoto,1,,,,,themself; herself; himself; itself,,,,,,
da-aoto di,1,,,,,"her own, his own, their own, its own",,,,,,
da-mon,1,,,,,"those, these",,,,,,
da-mon aoto di,1,,,,,their own,,,,,,
da-mon hir,,,,,,these here,,,,,,
da-mon zen,1,,,,,"those people, these people; they, them (referring to a group)",,,,,,
da-mon zen di,1,,,,,their,,,,,,
da-mon-aoto,1,,,,,themselves,,,,,,
dai,1,,,,mini,"a. big, large, great",,,,,,
dai air,,,,,,n. atmosphere,,,,,,
dai cang,,,,,cang,"war, armed conflict",,,,,,
dai dao,,,,,,"boulevard, thoroughfare",,,,,,
dai dom,,,,,,mansion,,,,,,
dai estatu,,,,,,n. colossus,,,,,,
dai hava,,,,,,gust,,,,,,
dai kastel,,,,,,"n. stronghold, citadel, bastion, large castle",,,,,,
dai re-forma,,,,,,"revolution, great change, cataclysm",,,,,,
dai sek,,,,,,boulder,,,,,,
dai-fon,,,,,,a. most; n. majority,,,,,,
dai-gran,,,,,,a. coarse,,,,,,
dai-lato,,,,,,"a. thick; wide, broad; fat",,,,,,
dante-bros,,,,,,toothbrush,,,,,,
dao fas,,,,,,"n. paving, pavement, road surface",,,,,,
dao tarif,,,,,,toll,,,,,,
dao-krus,,,,,,"intersection, crossroads, crossing, junction",,,,,,
dao-materi,,,,,,conductor (physics); conduit,,,,,,
data,,,,,,data,,,,,,
data-baza,,,,,,database,,,,,,
debe,1,,,,,"aux.v. must, ought to, have to; should; tr.v. owe; a. mandatory; n. obligation, responsibility, duty, onus",,,,,,
debe karta,2,,,,,debit card,,,,,,
debe meik,2,,,,,"tr.v. require, demand",,,,,,
debe-sei,2,,,,debe,"n. debt, obligation",,,,,,
debe-teze,2,,,,debe,"obligation, requirement, demand",,,,,,
debe-tiket,2,,,,,"invoice, bill; violation ticket",,,,,,
defini,2,,"eng:definite, spa:definitivo, rus:дефини́ция, may:definisi",,,"a. set, fixed, certain, decided, definite, firm; n. definition",,,,,,
defini mana,2,,,,,"dictionary definition, denotation",,,,,,
defini-fa,2,,,,,"tr.v. set, fix, decide, define, determine, confirm",,,,,,
dele-kamar,,,,,,waiting room,,,,,,
dele?,,,,,,"intr.v. wait; sf. to be, pending (future participle)",,,,,,
demo,,,,,,people; populace,,,,,,
den (bindu?),,,zho:點,,,"n. dot, spot, speck, mark; drop, droplet; point (geometry); point (score); period, full-stop; point, aspect, detail, part",,,,,,
den-ban,,,,,,scoreboard,,,,,,
den-nomer,,,,,,"score, grade, points",,,,,,
denso-fa,,,,,,v. condense,,,,,,
denso?,,,,,,"a. dense, thick, compact",,,,,,
der-hele,,,,,hele,intr.v. go; intr.v. send,,,,,,
desa cef,,,,,,head of state,,,,,,
desa-lip,,,,,,"national, federal, run by the central government",,,,,,
deva ta,,,,,,n. godhood,,,,,,
devo,,,,,,"n. god, deity; a. divine",,,,,,
devo-angil-zen,,,,,,"angel, heavenly messenger",,,,,,
devo-angil-zen-sam,,,,,,angelic,,,,,,
dia,,,,,,n. daytime; afternoon,,,,,,
dia-jagna,,,,,,diurnal,,,,,,
dia-medi,,,,,,"noon, midday",,,,,,
dia-sona,,,,,,nap,,,,,,
din (agama?),,,,,,religion,,,,,,
din-angil-zen,,,,,,missionary,,,,,,
ding,,,,,,"intr.v. ring, chime, clang; n. ring, ding, chime",,,,,,
ding-gu,,,,,,bell,,,,,,
ding-minar,,,,,,belltower,,,,,,
direk sen,,,,,,n. straight line,,,,,,
direk?,,,,,,"a. straight, direct",,,,,,
dizei?,,,,,,DJ,,,,,,
dobe?,,,,,,brick,,,,,,
dolar-tiket,,,,,,dollar bill,,,,,,
dom,1,,"eng:domestic, spa:domar, rus:дом",,,"a. domestic; intr.v. live, reside",,,,,,
dom hele,,,,,,intr.v. go home,,,,,,
dom-dosti,2,,,,,"housemate, flatmate, roommate",,,,,,
dom-eskul?,2,,,,,homeschool,,,,,,
dom-fa,2,,,,,"tr.v. tame, domesticate",,,,,,
dom-kan,2,,,,dom,"house, home, residence",,,,,,
dom-moto,2,,,,,"intr.v. migrate, move; tr.v. transplant, relocate, move; n. transit, migration, movement, relocation",,,,,,
dom-parke?,2,,,,,"yard, lawn",,,,,,
dom-zen,2,,,,,resident,,,,,,
don,2,,,,,"v. give, offer, present, bestow, cede; n. gift, present; donation",,,,,,
don-tabi,2,,,,,generous,,,,,,
dosti,1,,,,,n. friend,,,,,,
dosti fasil,2,,,,,"approachable, friendly, easy to get along with, easy to like",,,,,,
dosti te,2,,,,,n. friendship,,,,,,
du,2,,,,,"n. degree, level, grade; sf. -ity, -itude",,,,,,程度
du mara,2,,,,,"twice, two times",,,,,,
du pe,2,,,,,"pp. as, on the level of",,,,,,
du pe,2,,,,,ppe so much so that; as much as; to the extent that,,,,,,(fraze)ほど
Dua di Dunia dai-[fight?],2,,,,,World War II,,,,,,
dua vik mara,,,,,,biweekly (twice every week),,,,,,
dua-[bek?]-kilo-metro,,,,,,square kilometer,,,,,,
dua-[bek?]-mail,,,,,,square mile,,,,,,
dua-[bek?]-metro,,,,,,square meter,,,,,,
dua-plika,,,,,,"tr.v. double, duplicate; n. duplicate, clone, copy; av. twice as",,,,,,
dua-plika-bace,2,,,,,twin,,,,,,
duk-tabi,,,,,,gloomy personality,,,,,,
duka don,2,,,,,tr.v. sadden,,,,,,
duka get,2,,,,duka,"intr.v. grieve, be sad; a. sad",,,,,,
duka-?,,,,,,tragedy,,,,,,
Dunia zen,3,,,,,n. Earthling; global citizen,,,,,,
dur,2,,,,,"n. duration; intr.v. last, pass; tr.v. pass (time), spend (time), kill (time); sf. -ing, currently (present participle)",,,,,,
dur pe,2,,,,,pp. during,,,,,,
dur pe,2,,,,pe,pp. while,,,,,,
dur pos pe,2,,,,,"in, after",,,,,,
dur pre pe,2,,,,,"pp. ago, before now",,,,,,
dus,0,,,,bon,bad; evil,,,,,,
dus-[kigen],,,,,,gloomy,,,,,,
"dus-[mind,wit]",,,,,,"a. dull, slow, dull-witted",,,,,,
dus-[reputation],,,,,,a. infamous (notorious),,,,,,
dus-canse,,,,,,"n. bad luck, misfortune; a. unlucky, unfortunate",,,,,,
dus-hal,,,,,,"a. in bad condition, out of shape",,,,,,
dus-moral,2,,,,dus,"evil, wrong, morally bad",,,,,,
dus-sensa,,,,,,"a. gross, unpleasant; uncomfortable; creepy; n. dysphoria",,,,,,
dus-teze,,,,,,"tr.v. condemn, denounce, censure",,"v. condemnar, denunciar, censurrar",,,,
dus-vizi,,,,,,ugly,,,,,,
e hata,,,,,,and also,,,,,,
eda? ye? ya? tamben?,,,,,,"av. also, too; as well; either",,,,,,
efekto li,,,,,li,"pp. so, such that, with the result that",,,,,,
efekto?,,,,,,"n. result, effect, product, fruit, accomplishment, achievement; tr.v. bring about, effect, cause, accomplish, achieve",,,,,,
ekonomi,,,,,,"n. economy; one's finances; intr.v. economize; save money, be economical",,,,,,
ekran,,,,,,screen,,pantalla,,,,
ekran-kapta,,,,,,screenshot,,,,,,
elektri,,,,,,n. electricity; a. electric,,,,,,
elektri frigide-kasa,3,,,,frigide-kasa,refrigerator,,,,,,
elektri-magnet,,,,,,electromagnet,,,,,,
elektri-sut-zen,,,,,,"electrician, electrical technician",,,,,,
eletri zaru,2,,,,,n. vacuum cleaner,,,,,,
emsi?,,,,,,"master of ceremonies, MC",,,,,,
eni alo,,,,,,any other,,,,,,
eni alo sei,,,,,,anything else,,,,,,
eposta?,,,,,,email,,,,,,
es-?,,,,,,v. splay out; a. splayed,,,,,,
es-desa,,,,,,"a. foreign, abroad, international",,,,,,
es-fono,,,,,,"tr.v. pronounce, articulate, sound out; n. pronunciation",,,,,,
es-klama?,,,,,,exclaim; call out; shout; yell,,,,,,
es-misi?,,,,,,"tr.v. emit, give off; transmit, broadcast, send out; issue, distribute, dispense, give out; say, express",,,,,,
es-moto,,,,,,v. emigrate,,,,,,
es-mun,,,,,,"exit, egress, way out",,,,,,
es-porto,,,,,,export,,,,,,
es-poza,,,,,,"tr.v. omit, leave out, set aside, exclude, except; a. exclusive; n. exclusion, exception",,,,,,
es-poza pe,,,,,,"pp. except for, excepting, outside of, excluded, aside",,,,,,
es-sei,2,,,,,n. output,,,,,,
es-trakto,,,,,,extract; pull out,,,,,,
es-yeksi,,,,,,"eject, shoot out",,,,,,
esei?,2,,,,,"essay, treatise",,,,,,
eskala,,,,,,"tr.v. climb, scale, ascend",,,,,,
eskala-makin,,,,,,escalator,,,,,,
eskul,,,,,,n. lesson,,,,,,
eskul lik,,,,,,"scholarly ability, knowledge",,,,,,
eskul loga,,,,,,acquired language; second language,,,,,,
eskul tarif,,,,,,n. tuition,,,,,,
eskul-dunia,3,,,,,academia,,,,,,
eskul-get,,,,,,tr.v. learn,,,,,,
eskul-kan,2,,,,eskul,"school, academy",,,,,,
eskul-ki,2,,,,,school term,,,,,,
eskul-kitap,,,,,,"textbook, schoolbook",,,,,,
eskul-meik,,,zho:教,,,"tr.v. teach, instruct, educate",,,,,,
eskul-rang,,,,,,n. (academia) degree,,,,,,
eskul-sei,,,,,eskul-meik,"n. teaching, lesson",,,,,,
eskul-zen,,,,,,"student, learner; scholar, academic",,,,,,
eskulpe-gu? cizmel?,,,,,,chisel,,,,,,
espam-posta?,,,,,,"spam mail, unsolicited mail",,,,,,
espoila?,,,,,,spoiler,,,,,,
estadia,,,,,,"stadium, arena",,,,,,
estasi,,,,,,"a. still, stationary; n. stillness, stasis; intr.v. stay, be still",,,,,,
estasi plas,,,,,estasi,"stop, station, stopping place",,,,,,
estasi-fa,,,,,estasi,"v. stop, halt, still",,,,,,
estatu,,,"eng:statue, por:estátua, spa:estatua, deu:Statue, rus:ста́туя",,,"n. statue, sculpture, carving, image, figure, idol",,,,,,
etnia genus (genus?),,,,,,nationality,,,,,,
etnia marifa,,,,,,folklore,,,,,,
etnia-desa,,,,,,n. nation-state,,,,,,
fa,,,,,,"tr.v. change; intr.v. change; sf. turn, become, -ify, -ize",,,,,,"変化,変わり,為る"
fa-bilit,3,,,,,"n. rate of change, time-derivative",,,,,,
fa-nomer,,,,,,"n. factor, coefficient",,,,,,
fa-nomer?,,,,,,variable,,,,,,
faida li?,,,,,,for the benefit of; for the sake of; on behalf of,,,,,,
false,,,"eng: false, spa: falso, rus:фальшивый",,false-teze,"n. lie, falsehood; a. false, untrue",,,,,,
false-fa,,,,,,falsify,,,,,,
false-logi,,,,,,pseudoscience,,,,,,
false-nam,,,,,,"pseudonym, alias",,,,,,
false-teze,,,,,false,"lie, tell a lie",,,,,,
famili nam,,,,,,"family name, surname, last name",,,,,,
famili te,,,,,,n. kinship,,,,,,
fan,,,,,,"fanatic, fan, fanboy, fangirl",,,,,,
fang,,,zho:方,,,"n. direction, way, orientation; side (of a line, argument, etc.), party; way, means, technique; a. direcitonal, partisan; sf. how to, directions for; (emphasizes contrasting options in a comparison)",,,,,,
fang li,,,,,,"pp. following, according to, by doing, by the method of",,,,,,
fang-gona,,,,,,n. bearing,,,,,,
fas,,,,,,"n. surface, face, side; tr.v. finish (a surface), pave (a road)",,,,,,
fas area,,,,,,n. surface area,,,,,,
fasil,,,,,,"a. easy, simple; sf. -able, -ible",,"a. fácil; sf. -able, -ible",,,,
fasil-fa,,,,,,"facilitate, make easy",,,,,,
fason gazet,,,,,,fashion magazine,,,,,,
fatura,,,,,,bill; invoice,,,,,,
faze,,,,,,,,,,,,
feisang,,,zho:飛翔,,,intr.v. fly,,,,,,
feisang-ce-tiket,2,,,,,plane ticket,,,,,,
fem kon-gami,,,,,,co-wife,,,,,,
fem rege,2,,,,rege,queen,,,,,,
fem-sam,2,,,,,"a. feminine, womanly, girly",,,,,,
festa,,,,,,n. celebration; festival,,,,,,
festa-nit,,,,,,holiday,,,,,,
fidbak?,,,,,,feedback,,,,,,
fikir,2,,,,,"v. think, ponder, weigh, consider; consider, take into account; n. thought",,,,,,
fiksa,,,,,,"tr.v. fix, lock, pin; affix, attach, stick; intr.v. get stuck, fixate",,,,,,固定
fin,1,,,,,"intr.v.tr.v. end, finish, terminate, conclude; aux.v. stop, cease, quit; n. end, ending; a. over, done, finished, sf. -ed, finished (past participle)",,,,,,終了
fin di,2,,,,,"last, final",,,,,,
fin util-zen,3,,,,,end user,,,,,,
flor,2,,"eng:flower, por:flor, spa:flor, fra:fleur, hin:फूल, ben:ফুল",,,"n. flower, blossom; v. bloom",,,,,,
flor-parke?,2,,,,,"flower garden, orchard",,,,,,
flu,,,,,,v. flow; n. current,,,,,,
flu tei,,,,,,"n. liquid, fluid",,"n. líquido, fluido",سَائِل مَائِع‎,,,flu tei
fobi don,2,,,,,"tr.v. scare, frighten",,,,,,
fobi get,,,,,fobi,"intr.v. fear, be afraid",,,,,,
foko,2,,"eng:focus fra:focus, por:foco, spa:foco, deu:Fokus, rus:фо́кус",,,"intr.v. focus, concentrate; n. focus, concentration",,,,,,
foko-den,2,,,,,n. focal point,,,,,,
foko-plate,3,,,,,n. focal plane,,,,,,
foko-sei,2,,,,foko,"n. focus, object of concentration",,,,,,
folo?,,,,,,follow,,,,,,
fon,,,zho:分,,,"a. partial; n. part, section; portion, fraction, segment; fen (unit of currency)",,,,,,
fon-bol,,,,,,hemisphere,,,,,,
fon-dao-materi,,,,,,semiconductor,,,,,,
fon-devo,,,,,,demigod,,,,,,
fon-fa,,,,,,"v. divide, part, split, separate",,,,,,
fon-gola,,,,,,semicircle,,,,,,
fon-loga,,,,,,"dialect, lect, register",,,,,,
fon-nen,,,,,,semester,,,,,,
fon-nesia,,,,,,peninsula,,,,,,
fon-nomer,,,,,,n. fraction,,,,,,
fong-kasa,,,,,,beehive (manmade),,,,,,
fong-nizdo,,,,,,"bee nest, (natural) beehive",,,,,,
fono,2,,,,,"n. sound, audio; intr.v. make a sound, sound",,,,,,
fono dafta,,,,,,"n. audio recording, voice recording, recording",,,,,,
fono-[steal?],2,,,,,intr.v. eavesdrop,,,,,,
fono-dai,,,,,,loud,,,,,,
fono-loga,,,,,,onomatopoeia,,,,,,
fono-mini,,,,,,soft; quiet,,,,,,
fono-su,,,,,,phoneme,,,,,,
forma,,,"eng:form, fra:forme, por:forma, spa:forma, rus:фо́рма (fórma), tur:form",,,n. shape; form,,,,,,
foro (foru?),,,,,,forum,,,,,,
forum,,,,,,"message board, forum",,,,,,
foto-baton,,,,,,"n. torch, flashlight",,,,,,
foto-minar,,,,,,n. lighthouse; beacon,,,,,,
fraze,2,,"eng:phrase, spa:frase, por:frase, deu:Phrase, rus:фра́за, may:frasa",,,"n. phrase, clause",,,,,,
fren-retro,,,,,,"to and fro, forward and backward",,,,,,
fren-sen,,,,,,"n. frontline, front (of a war); front (meteorology)",,,,,,
frente li,2,,,,,"pp. in front of, before",,,,,,
frente pe,2,,,,frente li,"pp. in front of, before",,,,,,
frigide,,,,,,"cold, cool",,,,,,格好いい
frigide sui,,,,,,cold water,,,,,,
frigide-mahazin,,,,,,"cold storage, refrigeration",,,,,,
frilanse?,,,,,,freelance,,,,,,
fundi? yung?,,,,,,melt; dissolve,,,,,,
funsi,2,,,,,"intr.v. work, function; a. effective",,,,,,
funsi-bilit,,,,,,n. efficiency,,,,,,
funsi-du,,,,,,n. efficacy,,,,,,
funsi-konong?,,,,,,valid (workable),,,,,,
furi don,2,,,,,"tr.v. anger, upset",,,,,,
furi get,,,,,furi,intr.v. be angry,,,,,,
furno,,,"eng:furnace, fra:four, spa:horno, por:forno, ara:فرن‎, rus:горн, tur:fırın",,,n. fireplace; hearth; furnace; oven; kiln; boiler; reactor; tr.v. bake,,,,,,炉
furno-sei,,,,,,n. baked good,,,,,,
fut eskala-gi,,,,,eskala-gi,stairs,,,,,,
fut-[neck?],,,,,,ankle,,,,,,
futur,,,,,,future,,,,,,
galat fasil,,,,,,"easy to mess up, easy to do wrong",,,,,,
galat muskil,,,,,,"hard to mess up, hard to do wrong",,,,,,
galta-aha,,,,,,tr.v. misunderstand; n. misunderstanding,,,,,,
gami,,,,,,n. marriage; tr.v. marry,,,,,,
gana-bilit,3,,,,,n. gain factor,,,,,,
gana?,,,,,,"tr.v. earn, gain, win, get, achieve; n. earning, prize, reward, treat",,,,,,
ganhi,,,zho:關係,,,"n. relation, link, connection, relevance; influence, effect; relation, kinship; tr.v. relate to, have to do with, connect to; connect, join, put together",,,,,,
gansek,,,zho:岩石,,,"rock, stone",,,,,,
ganza,,,,,,marajuana,,,,,,
ganza-kan,,,,,,dispensary,,,,,,
ganzao,,,,,,"dry, parched",,,,,,
gar,,,,,,"v. suppose; a. hypothetical; n. supposition, hypothesis",,,,,,
garda-zen,2,,,,,"guard, warden, lookout, sentry; watcher",,,,,,
garda?,2,,,,,"tr.v. watch, guard; a. guarded; vigilant",,,,,,
gazet,,,,,,periodical; journal; magazine; gazette; paper,,,,,,
gazet-zen,,,,,,journalist,,,,,,
gen,,,,,,"n. birth, creation; tr.v. give birth; intr.v. be born; a. native, original",,,,,,
gen-bilit,,,,,,n. birth rate,,,,,,
gen? loga,,,,,,native language; first language,,,,,,
Geneve siti,,,,,,Geneva,,,,,,
geng?,,,,,,"av. more, additional, extra, added; also, additionally, too; a. more, further",,,,,額外,もっと
genus,,,,,,"kind, sort, gender; (taxonomy) genus",,,,,,
genus,,,,,,"n. class, category; v. classify, categorize, sort",,,,,,
geo,,,,,,"ground; earth, soil; land, landmass",,,,,,
geo ban,3,,,,,"tectonic plate, continent",,,,,,
geo bina-fang?,,,,,,tectonics,,,,,,
geo-[pile]?,2,,,,,"n. mound, embankment",,,,,,
geo-ban bina-fang?,3,,,,,plate tectonics,,,,,,
geo-desa,3,,,,,"n. hell; a. hellish, infernal",,,,,,
geo-grafi meik-sut,,,,,,"n. cartography, mapmaking, cartology",,,,,,
geo-gu,,,,,,earthenware,,,,,,
geo-in,,,,,,a. inland; n. inland area,,,,,,
geo-meik,,,,,geo,"earthen, made of clay",,,,,,
geo-nabi,3,,,,,n. geomancy,,,,,,
geo-nica,,,,,,"a. underground, subterranean",,,,,,
geo-nica prizon-kan,,,,,,"n. dungeon, oubliette",,,,,,
gida,,,"eng:guide, spa:guía, rus:гид",,,guide,,,,,,
gida-pin,,,,,,n. compass (tool for finding directions),,brújula,,,,
giga-zen,,,,,,"giant, titan",,,,,,
ging,,,zho:經,,,"a. parallel, lengthwise, longitudinal",,,,,,
ging-du,,,,,,longitude,,,,,,
ging-lato-?,,,,,,"n. graticule, coordinate grid",,,,,,
ging-tantu,,,,,,n. warp (weaving),,,,,,
giuk-kolor,,,,,giuk,jade (color),,,,,,
glori?,,,,,,n. glory; a. glorious,,,,,,
goku,,,zho:過去,,,"tr.v. pass; a. past, done, over; former, ex-; n. past; av. (past tense marker)",,,,,,
goku li (fin?),,,,,,previously; already; (in a negative sentence) anymore,,,,,,
gol,2,,,,,"n. goal, aim, objective, task; target; sf. -ee, target, destination",,,,,,
gol pe,,,,,,"pp. in order to, with the goal of, so that",,,,,,
gol-nai,,,,,,"aimless, listless",,,,,,
gola sistem?,,,,,,"circulatory shock, shock",,,,,,
gola-gu,,,,,,"n. pair of compasses, compass (tool for drawing circles)",,compás,,,,
gola-metro,,,,,,"n. perimeter, circumference, girth",,,,,,
gona,,,,,,"corner, angle",,,,,,
gorizmo?,,,,,,algorithm,,,,,,
